"","Acc_x","Acc_y","Acc_z","Mag_x","Mag_y","Mag_z","Date","Hours","Minutes","Seconds","Pitch.angle","ODBA","VeDBA","Event.no.","DateTime","Behaviours"
"111",0.359863,-0.0598145,0.767822,-0.479736,0.617188,0.583252,"27/2/2019",15,23,48,-25.0450172971887,0.449219,0.297852,342597,2019-02-27 15:23:48,"NA"
"112",0.419922,-0.0598145,0.743896,-0.469482,0.617188,0.585693,"27/2/2019",15,23,48,-29.3653349292691,0.519531,0.343506,342598,2019-02-27 15:23:48,"NA"
"113",0.539795,-0.0839844,0.803955,-0.448975,0.617188,0.590576,"27/2/2019",15,23,48,-33.7346255164508,0.54126,0.427246,342599,2019-02-27 15:23:48,"NA"
"114",0.695801,-0.143799,0.899902,-0.441895,0.614258,0.596924,"27/2/2019",15,23,48,-37.3620984205653,0.693115,0.562988,342600,2019-02-27 15:23:48,"NA"
"115",0.851807,-0.167969,0.99585,-0.43457,0.611084,0.603516,"27/2/2019",15,23,48,-40.1457303826866,0.906982,0.720215,342601,2019-02-27 15:23:48,"NA"
"116",0.887939,-0.131836,1.00781,-0.427246,0.608154,0.610107,"27/2/2019",15,23,48,-41.1409443999119,0.976563,0.747803,342602,2019-02-27 15:23:48,"NA"
"117",0.875977,-0.167969,1.03198,-0.412598,0.601807,0.623291,"27/2/2019",15,23,48,-39.9564874675434,0.937256,0.727783,342603,2019-02-27 15:23:48,"NA"
"118",0.86377,-0.203857,1.03198,-0.410156,0.603516,0.627197,"27/2/2019",15,23,48,-39.3906101997323,0.897461,0.703613,342604,2019-02-27 15:23:48,"NA"
"119",0.851807,-0.287842,1.03198,-0.407715,0.605225,0.631104,"27/2/2019",15,23,48,-38.4868976706494,0.957764,0.686768,342605,2019-02-27 15:23:48,"NA"
"120",0.839844,-0.323975,1.00781,-0.405029,0.607178,0.63501,"27/2/2019",15,23,49,-38.4267635154983,0.945313,0.662354,342606,2019-02-27 15:23:49,"NA"
"121",0.851807,-0.299805,0.99585,-0.399902,0.61084,0.642822,"27/2/2019",15,23,49,-39.3190225824949,0.907959,0.653564,342607,2019-02-27 15:23:49,"NA"
"122",0.851807,-0.227783,1.01978,-0.39917,0.609131,0.642822,"27/2/2019",15,23,49,-39.1868066036945,0.847412,0.640625,342608,2019-02-27 15:23:49,"NA"
